,Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets,Industry,Ticker,pe_ratio_industry_avg
57,2009-12-31,25.5697442584375,5275195.84375,1.934589047,13.03706096,16.27901283,17.45,3.839129087,5.2,1.94,4.13,1.54,7.95,0.71,10.55652781,6.13190386,-1.007347876,-120.8709173,2.68,11.21,1.077797351,1636.0,11211.0,2751.0,1321.0,465.0,550.0,351.0,0.53,1.584583312,1.458310315,7.222418808,19.17374494,Healthcare,DHR,7.2007514998749995
58,2010-03-31,27.086780048196722,2443596.901639344,2.0,13.51,16.54,18.02,3.78,5.22,1.89,4.23,1.53,7.97,0.69,10.61,6.16,-0.84,-97.92,2.76,11.63,1.15,1722.0,11630.0,2465.0,1228.0,291.0,370.0,267.0,0.4,1.633615478,1.499445061,7.148148148,19.6,Healthcare,DHR,7.071211982124999
59,2010-06-30,29.048977836825394,12949804.206349207,2.0,14.365,16.97,18.26,3.65,4.54,1.59,3.35,1.17,8.03,0.68,10.72,6.31,-1.45,-106.4,2.86,11.85,1.21,806.0,11853.0,3008.0,1469.0,422.0,515.0,300.0,0.45,1.692987625,1.573384447,7.871232877,19.88,Healthcare,DHR,7.333415035500001
60,2010-09-30,27.62643843890625,4832378.6875,2.03,13.15763547,17.59,18.48,3.66,5.05,1.69,3.81,1.27,8.02,0.67,11.04,6.56,-1.08,-118.65,2.99,12.06,1.29,1233.0,12058.0,3217.0,1606.0,518.0,615.0,372.0,0.55,1.518476407,1.44534632,7.297814208,20.08,Healthcare,DHR,6.972681290875
61,2010-12-31,31.6146463459375,6007744.109375,2.35,12.43829787,17.33,20.14,3.86,5.46,1.77,4.22,1.37,8.33,0.63,13.02,7.82,-0.38,-169.16,3.08,13.17,1.59,1635.0,13172.0,3093.0,1612.0,553.0,649.0,646.0,0.95,1.686670514,1.451340616,7.57253886,21.5,Healthcare,DHR,8.131461175624999
62,2011-03-31,35.52432134032258,1191370.1290322582,2.64,12.86742424,18.39,20.98,2.77,6.07,1.83,4.9,1.48,8.44,0.61,14.09,8.57,0.07,-252.93,3.32,13.77,1.79,1633.0,13773.0,3232.0,1718.0,557.0,659.0,474.0,0.69,1.847199565,1.619161106,12.26353791,22.22,Healthcare,DHR,18.160657246125005
63,2011-06-30,38.234369307777776,2570748.0476190476,1.96,19.07653061,16.81,22.17,2.34,6.13,1.85,4.85,1.46,8.31,0.56,14.3,8.85,0.25,-678.8,3.32,14.72,1.92,1594.0,14724.0,3292.0,1749.0,585.0,689.0,429.0,0.63,2.224271267,1.686513306,15.97863248,23.04,Healthcare,DHR,13.818133985125
64,2011-09-30,33.53370297015625,4128839.109375,3.13,12.20127796,19.21,24.15,0.91,6.56,1.53,4.49,1.05,14.96,0.9,15.1,8.95,-4.4,-197.48,4.28,16.56,2.2,552.0,16556.0,3636.0,1918.0,610.0,729.0,649.0,0.94,1.988027069,1.58136646,41.96703297,31.51,Healthcare,DHR,11.307551287625
65,2011-12-31,33.63459329746032,5880498.0,3.32,9.108433735,20.75,24.13,1.01,6.32,1.53,4.34,1.05,14.06,0.85,13.47,7.73,-3.91,-103.94,4.12,16.56,2.08,484.0,16562.0,4446.0,2183.0,643.0,851.0,523.0,0.74,1.457349398,1.2532117699999998,29.94059406,30.62,Healthcare,DHR,9.203596208375
66,2012-03-31,37.93771226854839,2181626.0,3.17,10.70662461,22.95,24.68,1.26,6.27,1.5,4.49,1.08,12.98,0.77,13.4,7.55,-3.34,-76.22,4.17,16.97,2.17,537.0,16972.0,4717.0,2327.0,779.0,983.0,571.0,0.8,1.478867102,1.375202593,26.93650794,29.95,Healthcare,DHR,9.954576750125
67,2012-06-30,38.10240179380952,4804194.0,3.34,12.10179641,24.26,25.83,1.23,6.54,1.67,4.65,1.19,12.53,0.7,13.86,7.69,-2.54,-66.4,3.91,17.89,2.36,1043.0,17891.0,4316.0,2236.0,735.0,937.0,613.0,0.86,1.666117065,1.564847077,32.86178862,30.42,Healthcare,DHR,10.06215656775
